,Art,Name,Type,Tags,Description,Upgrade a,Upgrade b,Upgrade c
3,Dueling,Parry and Riposte,Stance,,"Range: 1
Trigger: An enemy in range targets you with an attack.
Effect: You may add your Dueling Training Level to your defense roll.
If you do, end this stance. If your contesting roll is a **Critical**,
make a Physical Attack with Finisher against the triggering enemy,
dealing **[1] Fatigue** on a Success.  
","Add half your POW to the damage you deal on a Success  
","Increase the bonus to your defense roll by an amount equal to half your FIN  
",
4,Dueling,Pivot,Stance,,"Trigger: You or an adjacent character are targeted with an attack
Effect: End this stance and enter any **Basic Stance** of your choice.
If the stance has an effect that shares a trigger with this one,
you may carry it out immediately.
","If the Stance would normally end after triggering, you may
stay in it or enter a different Basic Stance instead  
","If the Stance grants a Boon to your Defense Roll, gain an
additional Boon for the attack triggering this ability  
",
5,Dueling,Press Advantage,Passive,,"Effect: Your attacks that target an enemy suffering at least one **Status**
are at +**1**$^a$ Boons  
","Gain additional Boons equal to half your FIN  
","In addition, when you get a Critical against an enemy with one or more Statuses,
add +1 additional stack. If the target has more than one, add +1 to up to
half your FIN of them  
",
6,Dueling,Long Reach,Passive,,"Effect: Your abilities listed as having Range 1 have Range 2 instead
",,,
0,Infusion,Infuse Weapon,Action,,"Effect: Make a Basic Attack against a valid target resolved using Infusion.
If the target is adjacent to you, the Attack loses the Ranged tag for this
use and gains Finisher.
Critical: Deal **1**$^a$ additional Fatigue  
Effect: Choose of the following to apply to the target: **+1 Burning**, +1 **Slowed**,
+1 **Blinded** or +1 **Shocked**. If the attack was a Success, choose **1**$^b$
additional times (you may choose the same one more than once)  
","Add half your POW to Fatigue you deal on a Critical  
","Add half your FIN to the additional Status stacks you deal on a Success  
",
1,Infusion,Wave of Mutilation,Action,,"Range: 0
Target: Area **2**$^a
Effect: Choose one of the following statuses: **Burning**, **Slowed**, **Blinded**,
**Shocked**. All characters in the area (including Self) receive +**1**$^b$
of that status.  
",Increase the area by half your REA,Increase the number of Status stacks on characters other than you by half your FIN,
2,Infusion,Homing Beacon,Action,Terrain Effect,"Range: 0
Target: Area **3**$^a$
Effect: While the effect is present, you may spend 4 spaces of movement or your Action
to teleport to any space in the area from anywhere on the battlefield.
Your allies may teleport in this way as well (using their own movement or action)
if they are adjacent to you, or may teleport from the area to any space adjacent to you.
","Increase the Area by half your REA  
","Teleporting costs only 2 spaces of movement  
","The area is no longer considered a Terrain Effect for the purpose of limits
on simultaneous active Terrain Effects  
"
3,Infusion,Force Armor,Stance,,"Trigger: You succeed on a Resilience roll against an enemy attack
Effect: Push the enemy up to **1**$^a$ spaces away from you (each space pushed must be
in the same direction and must increase the distance between you).
If you Critically Succeed, push them up to **2**$^a$ spaces instead.
The attack otherwise resolves as normal based on the rolls involved.  
","Increase the distance pushed on a Success by half your REA and the distance
pushed on a Critical by your full REA  
","If you have not used the effect since your last turn, you may add half your
FOC to your Resilience roll  
",
4,Infusion,Magnetic Armor,Stance,,"Range: 1
Trigger: An enemy attempts to exit a space in range for the first time on their turn,
 or an enemy ability would move an ally out of an adjacent square.
Effect: The enemy attempting to move is **1**$^a$ **Slowed** and does not move, or the ally
is **Immobilized** until the end of the current turn.  
","Increase the stacks of Slowed by half your FIN  
","Deal Fatigue to the triggering enemy equal to half your POW  
",
5,Infusion,Transmuter,Passive,,"Range: **1**$^a$
Effect: Whenever you or one of your allies afflicts an enemy within Range with one of the
following statuses: **Burning**, **Slowed**, **Blinded**, **Shocked**, 
you may replace that application of the status with a different status from the same list.  
","Increase the range by half your REA  
","If the target was already suffering from the chosen status, you may deal **1 Stress**
to them in addition to the other effects  
",
6,Infusion,Resonance,Passive,,"Effect: Whenever you are suffering from **Burning**, **Slowed**, **Blinded** or **Shocked**,
you may apply **1**$^a$ stacks of that status as part of a successful attack. If you
are suffering from more than one, you apply at most **1**$^b$ of them. This is in addition
to any statuses the attack applies normally (and the stacks add together if the same
status applies more than once and has a parameter).  
","Increase the number of Status stacks you apply by half your FIN  
","Increase the maximum number of different statuses you can propagate by half your REA  
",
0,Archery,Piercing Shot,Action,"Physical Attack, Ranged, Finisher","Range: 6
Target: One enemy
Special: Targeting and effects from this ability do not trigger any
Triggered Effects granted by enemy abilities
Succeed: Deal **2 Fatigue**  
Critical: Deal an additional **1**$^a$ **Fatigue**
","Add half your POW to the additional Fatigue you deal on a Critical  
","On a Critical, you may increase your Initiative for this combat by your REF  
",
1,Archery,Trick Shot,Action,"Physical Attack, Ranged, Finisher","Range: 6
Target: One enemy
Succeed: Deal **2 Fatigue**  
Critical: Repeat this action immediately, targeting an enemy that has not been targeted
by this ability this turn as if you were standing in the space of the first target.
You have +**1**$^b$ **Bane** on the attack for each previous target of this ability this turn.  
","On a Critical, deal additional Fatigue equal to half your POW  
","Reduce the number of Banes applied for previous targets by half your REA  
",
2,Archery,Flaming Arrow,Action,"Physical Attack, Ranged","Range: 6
Target: One enemy
Succeed: Deal **2 Fatigue** and inflict **1**$^a$ **Burning**  
","Add half your FIN to the number of Burning stacks you deal on a Success  
","On a Critical, deal additional Fatigue equal to half your POW  
",
3,Archery,Point Blank Shot,Action,"Physical Attack, Ranged","Range: 2
Target: One enemy
Effect: Push the target up to **1**$^b$ spaces (you may move them any direction provided
each square of movement is in the same direction and leaves them further from you
than they started)
Succeed: Deal **2 Fatigue**
Critical: Deal an additional **1**$^a$ Fatigue and push the target up to an additional **1**$b$
","Add half your POW to the additional Fatigue you deal on a Critical  
","Add half your REA to the distance pushed and the additional distance pushed on a Critical  
",
4,Archery,Prepared Shot,Stance,,"Effect: Choose one: Gain Aura 6, or Gain Aura 4 and apply **1**$^b$ **Mark** to an enemy within 6
Trigger: An enemy moves into the Aura
Effect: You may make a Ranged Physical Attack against the triggering enemy,
with **1**$^c$ **Boon** if the target is **Marked**. 
If you do, end this stance and you cannot take an action during your next turn
(you can still move and take a new stance).
Succeed: Deal **Fatigue** equal to 2 plus the stacks of Mark on the target.
Critical: Deal an additional **1**$^a$ **Fatigue**  
","Add half your POW to the additional Fatigue you deal on a Critical  
","Add half your FIN to the stacks of Mark you apply  
","Add half your FIN to the number of Boons you gain against Marked targets  
"
5,Archery,Sniper,Passive,,"Effect: If you do not move during your turn your Ranged Attacks until the start of your
next turn have **1**$^a$ **Boons**. Subtract 1 Boon for each enemy in range 2 of you
when making the attack (this cannot cause you to lose more Boons than you gained
from this ability).  
","Increase the number of Boons by half your FIN  
","You only subtract Boons for nearby enemies in excess of half your FOC  
",
6,Archery,Strafe,Passive,,"Effect: You may take an action during your Move instead of afterwards, provided each
square moved during your turn is in the same direction. If you make an attack
your remaining Movement may not take you further from the target than you were
when you made the attack.
",,,
0,Ninjutsu,Assassinate,Action,"Physical Attack, Finisher","Range: 3
Target: One enemy
Special: You have **1**$^a$ **Boon** on the attack if the target is **Marked**
Succeed: Deal **2 Fatigue** plus additional Fatigue equal to the number of stacks
of **Mark** on the target. If the target becomes Incapacitated, clear all
stacks of **Mark** and become **Hidden**. Otherwise, reduce the target's
**Mark** by one.  
Critical: If the target becomes Incapacitated on the same turn you use this ability,
apply **1**$^b$ **Mark** to another target in range. Otherwise, the target retains
all **Mark** instead of reducing it.  
","Add half your FIN to the number of Boons you gain against Marked targets  
","Add half your REA to the number of stacks of Mark you apply to a new target
on a Critical against a target that becomes Incapacitated, and add **+1 Mark**
to the target when you get a Critical but do not Incapacitate the target  
",
1,Ninjutsu,Poison Dagger,Action,Physical Attack,"Range: 1
Target: One enemy
Effect: The target is **Scouted** and +**1**$^a$ **Hamstrung**
Succeed: The target takes **1 Fatigue** and **1**$^a$ **Bleeding**  
Critical: Deal an additional **1**$^b$ **Fatigue**
Effect: You may move up to half your speed (round up) (plus **0**$^c$ additional spaces)
after this ability resolves, hit or miss.  
","Add half your FIN to the number of stacks of Hamstrung and Bleeding  
","Add half your POW to the additional Fatigue you deal on a Critical  
","Add half your FIN to the maximum spaces you may move after the attack  
"
2,Ninjutsu,Flashbang,Action,Mental Attack,"Range: 3
Target: Area **2**$^c$
Effect: Characters in the area gain +**1**$^b$ **Blinded**  
Succeed: Deal **2 Stress**
Critical: Deal an additional **1**$^a$ **Stress**, and
characters in the area are **Disoriented**.  
","Add half your REA to the additional Stress you deal on a Critical  
","Add half your FIN to the stacks of Blinded  
","You may increase the area by up to half your REA (you can set the area on each use)  
"
3,Ninjutsu,Quiet Mind,Stance,,"Trigger: You make an **Evasion** roll
Effect: If you Critically Succeeded, you may remove **2**$^a$ stacks of any one status
from yourself after the attack resolves. Otherwise, you may treat the outcome
as one category better than the roll. In either case, end this stance.  
","Add half your REA to the number of stacks removed on a Critical  
","You may remove 1 stack of a status when you get a normal Success (before upgrading the result)
",
4,Ninjutsu,Study,Stance,,"Range: 3
Target: One enemy
Effect: The target gains **+1 Mark**, you become **Hidden**, and gain **Aura** **1**$^b$
Trigger: A enemy with Mark enters a square in the Aura  
Effect: The triggering enemy immediately gains +**1**$^a$ **Mark**  
","Add half your FIN to the number of stacks of Mark applied by the Triggered Effect  
","Increase the size of the Aura by half your REA  
",
5,Ninjutsu,Fleet Footed,Passive,,"Effect: Increase your Speed by **1**$^a$
","Increase your Speed by an additional 1  
","If you move at least 4 on your turn, gain +**1** **Boon** on your next attack  
",
6,Ninjutsu,Transpositional,Passive,,"Effect: During your move you may spend 1 space of movement to swap places
with an ally in Range **1**$^b$
","You may use this effect to swap with an enemy, and when you swap
with an ally it does not cost movement.  
","You may exchange places with an ally within a Range up to half your
REA as a Teleport using only 1 space of movement  
",
0,Kineticism,Two Body Problem,Action,Physical Attack,"Range: 4
Target: One character in range and a second character within 4
who shares a row or column with the first target
Effect: Propel one or both targets closer to each other along the line until
they are adjacent or until they collide with another character or
terrain +2 or more above their starting position
Succeed: You may deal up to **2**$^a$ **Fatigue** split however you wish between
the targets and any other character they collided with
Critical: You may cause one$^b$ of the targets to become **Dazed**  
","Add half your POW to the Fatigue you deal on a Success  
","You may apply **Dazed** to one target on a Success or both targets on a Critical  
",
1,Kineticism,Vector Field,Action,Terrain Effect,"Range: 4
Target: Area **2**$^a$
Effect: Indicate a side or corner of the area. Whenever a character moves
into any space in the area they are pushed one space toward
the indicated side or corner unless they spend **1**$^b$ additional
movement to resist this effect. Movement triggered by this effect
does not trigger this effect.  
","Add half your REA to the size of the Area  
","Add 1 to the additional movement cost  
",
2,Kineticism,Accelerate,Action,"B, u, f, f","Range: 4
Target: One Ally or Self
Effect: Target is **Hastened**  
","You may apply the effect to a second target   
","After using this ability, you gain the benefit of the **Dodge** Basic Stance
until the start of your next turn (in addition to your actual Stance)  
",
3,Kineticism,Orthogonal Incidence,Stance,,"Trigger: You are targeted with an ability that inflicts Fatigue or Stress
by an enemy sharing a row or column with your position and at least 3 spaces away
Effect: Add your Kineticism Training Level to your Defense roll and end this stance
Critical: Apply the effect to a new target sharing a row or column with you
which is at a right angle to the row or column you share with the
triggering enemy (but reduce the Fatigue or Stress dealt by 1)$^b$
","Gain an additional bonus to the Defense roll equal to half your REA  
","The target takes the full impact of the effect on a Critical  
",
4,Kineticism,Eigencomplex,Stance,Aura,"Effect: Gain **Aura** **1**$^a$ and indicate an orientation: clockwise or counterclockwise.
Whenever a character moves into any space in the aura, they are pushed one space
in a cardinal direction in the indicated orientation unless they spend
an extra space of movement to resist this effect. Movement triggered by this effect
does not trigger this effect. You cannot be targeted by enemies in this aura
unless they are orthogonally adjacent to you.  
","Increase the size of the Aura by half your REA  
","Ranged attacks targeting you from 3 or more spaces away are at **+1 Bane**
while you are in this Stance  
",
5,Kineticism,Relay,Passive,,"Effect: Allies may bounce abilities off of your space as if they were originating
from you. You must be in range of their ability and they must have
an unobstructed path to you.  
","Abilities bounced off of you may ignore Cover  
","When an ability is bounced off of you you may move 1 before the attack.
Use your new position to determine whether the target is in range.  
",
6,Kineticism,Newtonian Mechanics,Passive,,"Effect: Whenever you target a creature or area with an ability using an action,
you may move yourself **1**$^a$ spaces further away from that creature
(or from the closest space in the area).  
","Increase the distance you move by half your REA  
","You may move the target 1 as well in the opposite direction you move, |
after the ability resolves (in addition to any movement the ability applies normally)  
",
0,Animism,Ameliorate,Action,,"Range: **1**$^a$
Target: One Ally or Self
Effect: Choose 1: Reduce the target's **Fatigue** by 1,
reduce the target's **Stress** by 1, or
reduce the stacks of a Status by 2
Overexert: Choose 2 instead, or choose the same one twice  
","Increase the Range by half your REA  
","When you use this ability (in either its normal or Overexert modes)
you may choose an additional option not already selected  
",
1,Animism,Spirit Armor,Action,Buff,"Range: 2
Target: One Ally or Self
Effect: The target may add your Animism Training level to a Defense roll,
reducing any **Fatigue** or **Stress** taken by 1. Alternatively if they
fail a Panic or Incapacity Roll they may reroll. Either way, end this Buff
after it is used unless you take **Stress** to maintain it  
","The bonus granted to the roll increases by half your FOC  
","The target may add your Animism Training to their reroll  
",
2,Animism,Command Aggressor,Action,Physical Attack,"Range: 4
Effect: Position a Minion. You may have your minion make a Physical Attack
against an enemy adjacent to it (resolve using your Animism)
Effect: Push the target **1**$^b$ spaces  
Success: Deal **2 Fatigue**
Critical: Deal an additional **1**$^a$ **Fatigue**   
","Increase the additional Fatigue on a Critical by half your POW  
","Increase the distance pushed by half your REA  
",
3,Animism,Command Protector,Stance,,"Range: 2
Effect: When you take or renew this stance, Position a Minion  
Trigger: An enemy exits a space adjacent to your minion for the first time on their turn.  
Effect: You may make a Physical Attack against the triggering enemy.
If you do, end this stance.  
Success: Deal **1**$^a$ **Fatigue**  
","Increase the Fatigue on a success by half your POW  
","On a Critical, apply **Slowed** equal to half your FIN  
",
4,Animism,Bolster,Stance,,"Range: 2
Effect: When you take or renew this stance, Position a Minion.  
Effect: The minion has **Aura** **1**$^a$. You and your allies have
+**1**$^b$ to all defensive rolls while in the aura.  
","Increase the size of the Aura by half your REA  
","Increase the bonus to defensive rolls by half your FOC  
",
5,Animism,Channel Will,Passive,,"Effect: When you take the **Basic Attack** or **Resuscitate** actions or
the **Assist** or **Protect** stances, you may use your **Minion**'s space
instead of your own for the purpose of determining whether a target is in Range.
You may also select targets for other abilities you have as if you were
in your Minion's space, but if they have a Range greater than **[1]**,
they are treated as if they had a Range of **[1]** instead (this does not
apply to basic actions and stances).  
","Increase the maximum Range of channeled non-Basic abilities by half your REA  
","When you use a Basic Ability in this way, you may reduce your **Stress Load** by 1  
",
6,Animism,Soul Bond,Passive,,"Effect: When your minion would disappear as a result of taking Fatigue or Stress,
you may prevent it from disappearing by taking **Stress**
","If an ally adjacent to your minion would take **Fatigue** or **Stress**,
you may reduce the amount they take by 1 by taking **Stress**  
","When you would take **Fatigue** or **Stress** while you have a minion in play,
you may reduce the amount you take by 1 by removing your minion from play
",
0,Mesmerism,Compulsion,Action,Mental Attack,"Range: 4
Target: One character. If the target is an ally they must be willing
and the attack automatically Succeeds
Effect: Force the target to move up to half their Speed to any other space
of your choice within range  
Success: Force the target to move up to their full Speed instead  
Critical: If the target is an Enemy, deal $**2**^a$ **Stress**Overexert: If the attack Succeeds, the target is **Immobilized** until the end of their turn.
You may choose to use **Overexert** after the attack resolves.  
","Add half your REA to the additional Stress you deal on a Critical  
","On a Critical, you may use the Overexert effect without taking Stress
in lieu of the normal Critical effect  
",
1,Mesmerism,Addle,Action,Mental Attack,"Range: 4
Target: One enemy
Success: The target is **Disoriented** and gains +**1**$^b$ **Slowed**
Overexert: Deal **2**$^a$ **Stress**  
","Add half your REA to the additional Stress you deal when using Overexert  
","Add half your FIN to the stacks of Slowed  
",
2,Mesmerism,Puppet,Action,Mental Attack,"Range: 4
Target: One character in range. If the target is an ally the attack automatically Succeeds.
Success: The target makes a **Basic Attack** against a valid target, resolved using your Mesmerism.  
Overexert: You may direct the target to use a different action you have access to
instead of a **Basic Attack**  
Critical: If the target is an enemy, deal **2**$^a$ **Stress**  
","Add half your REA to the additional Stress you deal on a Critical against the second target  
","On a Critical against the first target, you may use the Overexert effect
without taking Stress. If you do, you do not get this ability's normal
Critical benefit against the second target  
",
3,Mesmerism,The Prestige,Stance,,"Range: **1**$^b$
Trigger: You or an ally in Range are targeted by an enemy attack
Effect: If there is another character in Range that isn't the attacker, you may
swap places with them, causing the attack to target them instead of you
or vice versa. This might cause an ability that can normally only target
an enemy of the attacker to target their ally instead. If the new target
is an enemy, make a Mental Attack against them. If they Succeed this effect
fails but you may contest the triggering attack normally. After this effect
triggers, end this stance unless you take **Stress** to maintain it.  
","You may use the Effect even without an adjacent character, moving
1 space before the attack resolves. If this results in you being
out of range, the attack automatically Misses (you still take any
effects that don't require a Success)  
","Increase the Range to 2  
",
4,Mesmerism,Mind Over Matter,Stance,,"Effect: If you would take **Fatigue**, you may choose to reduce the Fatigue
you take by up to **[1]** and take the same amount of **Stress** instead.
If you do, end this stance unless you take an additional **[1] Stress**
for each previous time you have used this effect since your last turn  
","Increase the maximum amount of Fatigue you can convert to Stress by half your FOC  
","Reduce the total amount of additional Stress required each time you
maintain this stance by 1  
",
5,Mesmerism,Composed,Passive,,"Effect: Increase your **Maximum Stress Tolerance** by **1**$^a$ and gain
a bonus on **Panic Rolls** of the same amount
","Add an additional 1 to both  
","Apply the bonus to your **Resolve** rolls as well  
",
6,Mesmerism,Disappearing Act,Passive,,"Effect: Whenever you successfully defend against an enemy attack, become **Hidden**.
","In addition, gain **+1 Boon** on your next attack  
","After applying this effect the next attack against you before the start
of your turn has **+1 Bane**, and Hidden does not end before the start
of your turn unless you are Successfully attacked by an adjacent enemy
",
0,Elementalism,Fire Burst,Action,"Physical Attack, Ranged","Range: 4
Target: Area **2**$^a$
Success: Characters in the area take **1 Fatigue**  
Critical: Deal **1** additional Fatigue and the target gains +**1**$^b$ **Burning**  
Overexert: Choose one: Increase the Area by 2, treat normal Successes as Criticals,
or double the Critical effect  
","Increase the area by half your REA  
","Add +1 Burning on a Success effect, and increase the stacks on a Critical
by half your POW  
",
1,Elementalism,Blizzard,Action,Terrain Effect,"Range: 4
Target: Area **2**$^a$
Effect: The area is **Difficult Terrain**.
Overexert: Whenever a character starts their turn in the area or enters it
for the first time on a turn, make a Physical Attack against them,
dealing **Fatigue** on a success. At the start of your turn
you may maintain this effect by paying the **Overexert** cost again.  
","Increase the area by half your REA  
","You don't need to pay the Overexert cost to maintain the Overexert effect
provided your Stress Load does not exceed your Stress Tolerance  
",
2,Elementalism,Unlimited Power,Action,Mental Attack,"Range: Self
Target: One adjacent enemy
Success: Deal **2**$^a$ **Stress**
Effect: The target gains +**1**$^b$ Shocked
Overexert: The target becomes **Aura** **1**$^c$ and on a Success you may repeat
this action immediately, except the targets are resolved as if you were
the previous target, and you cannot target a character that has been
targeted by this ability this turn.
","Increase the Stress you deal on a Success by half your REA  
","Increase the Shocked stacks by half your FIN  
","Increase the Overexert Aura size by 1  
"
3,Elementalism,Earthen Hide,Stance,,"Trigger: You are targeted by a Physical Attack
Effect: Add your Elementalism Training to your Resilience roll.
If you roll a Critical success, you may remain in this stance.
Otherwise, end this stance unless you take **Stress** to stay in it.  
","Add half your POW to the bonus  
","Reduce the threshold for a Critical Success by your FOC  
",
4,Elementalism,Cloak of Wind,Stance,,"Trigger: You are targeted by an Attack
Effect: Add your Elementalism Training to your Evasion roll. If you roll a
Critical Success, you may remain in this stance. Otherwise, end this stance
unless you take **Stress** to stay in it.  
","Add half your FIN to the bonus  
","Reduce the threshold for a Critical Success by your FOC  
",
5,Elementalism,Living Spark,Passive,,"Range: **2**$^a$
Effect: Whenever a character in Range loses the **Burning** condition
without using the **Recover** action, you may apply +**1**$^b$ **Burning**
to another character within half this ability's Range (rounded up) of them.  
","Add half your REA to the Range  
","Increase the stacks of Burning on the new target by half your FIN  
",
6,Elementalism,Deep Freeze,Passive,,"Effect: Whenever an enemy enters any space in a Terrain Effect you created
for the first time on a turn, you may make a Mental Attack against them.
On a Success they gain +**1**$^a$ **Slowed**  
","Add half your FIN to the stacks of Slowed  
","On a Critical, deal **Fatigue** equal to half your POW  
",
